Mon May 18 13:20:09 2015
NRLTSI2 constructed from SORCE/TIM data on TIM absolute scale
Model uses  GOME Mg facular index and sunspot darking index with area-independent contrast
Background consistent with Wang, Lean, Sheeley (Ap. J. 2005)
  YEAR    NRLTSI2        UNCERT
  1610    1360.4784      0.4552
  1611    1360.5048      0.4666
  1612    1360.8824      0.6328
  1613    1361.0801      0.7199
  1614    1361.0638      0.7126
  1615    1360.9785      0.6750
  1616    1360.3904      0.4163
  1617    1360.3087      0.3804
  1618    1360.2853      0.3702
  1619    1360.3679      0.4127
  1620    1360.3735      0.4190
  1621    1360.3463      0.4420
  1622    1360.3015      0.4795
  1623    1360.2228      0.5458
  1624    1360.1898      0.5385
  1625    1360.3823      0.6218
  1626    1360.3265      0.5976
  1627    1360.2327      0.5546
  1628    1360.2883      0.5787
  1629    1360.2656      0.5527
  1630    1360.1798      0.4891
  1631    1360.2025      0.4641
  1632    1360.1888      0.4505
  1633    1360.3380      0.4847
  1634    1360.2446      0.4283
  1635    1360.2445      0.4341
  1636    1360.3108      0.4654
  1637    1360.5194      0.5701
  1638    1360.6477      0.6368
  1639    1360.7659      0.6914
  1640    1360.3964      0.5309
  1641    1360.6864      0.6592
  1642    1360.6576      0.6565
  1643    1360.3153      0.5077
  1644    1360.2698      0.4867
  1645    1360.1746      0.4518
  1646    1360.1559      0.4671
  1647    1360.1298      0.4890
  1648    1360.0964      0.5171
  1649    1360.0844      0.5271
  1650    1360.0287      0.5739
  1651    1360.0203      0.5809
  1652    1360.0627      0.6056
  1653    1360.0189      0.5895
  1654    1360.0179      0.5893
  1655    1360.0167      0.5886
  1656    1360.0168      0.5889
  1657    1360.0129      0.5872
  1658    1360.0142      0.5874
  1659    1360.0129      0.5872
  1660    1360.0269      0.5932
  1661    1360.0176      0.5903
  1662    1360.0118      0.5880
  1663    1360.0118      0.5880
  1664    1360.0118      0.5880
  1665    1360.0115      0.5884
  1666    1360.0116      0.5883
  1667    1360.0116      0.5883
  1668    1360.0129      0.5872
  1669    1360.0125      0.5874
  1670    1360.0121      0.5878
  1671    1360.0183      0.5906
  1672    1360.0150      0.5886
  1673    1360.0125      0.5874
  1674    1360.0137      0.5881
  1675    1360.0125      0.5874
  1676    1360.0233      0.5915
  1677    1360.0177      0.5891
  1678    1360.0150      0.5874
  1679    1360.0133      0.5868
  1680    1360.0186      0.5893
  1681    1360.0133      0.5870
  1682    1360.0131      0.5870
  1683    1360.0129      0.5872
  1684    1360.0229      0.5914
  1685    1360.0125      0.5874
  1686    1360.0156      0.5899
  1687    1360.0120      0.5883
  1688    1360.0151      0.5898
  1689    1360.0126      0.5892
  1690    1360.0112      0.5884
  1691    1360.0112      0.5884
  1692    1360.0114      0.5883
  1693    1360.0116      0.5883
  1694    1360.0117      0.5881
  1695    1360.0125      0.5887
  1696    1360.0126      0.5875
  1697    1360.0164      0.5842
  1698    1360.0173      0.5834
  1699    1360.0195      0.5816
  1700    1360.0225      0.5812
  1701    1360.0262      0.5820
  1702    1360.0240      0.5807
  1703    1360.0400      0.5878
  1704    1360.0522      0.5934
  1705    1360.0599      0.5964
  1706    1360.0406      0.5873
  1707    1360.0616      0.5949
  1708    1360.0500      0.5849
  1709    1360.0404      0.5797
  1710    1360.0402      0.5677
  1711    1360.0389      0.5651
  1712    1360.0594      0.5480
  1713    1360.0690      0.5428
  1714    1360.0752      0.5432
  1715    1360.0940      0.5497
  1716    1360.1383      0.5644
  1717    1360.1903      0.5825
  1718    1360.1570      0.5516
  1719    1360.3361      0.6095
  1720    1360.3031      0.5619
  1721    1360.2991      0.5460
  1722    1360.2390      0.4895
  1723    1360.2076      0.4752
  1724    1360.2708      0.5029
  1725    1360.2516      0.4979
  1726    1360.3922      0.5659
  1727    1360.4427      0.5845
  1728    1360.6154      0.6523
  1729    1360.3625      0.5400
  1730    1360.5728      0.6337
  1731    1360.2024      0.4474
  1732    1360.2100      0.4485
  1733    1360.2274      0.4344
  1734    1360.2361      0.4364
  1735    1360.3165      0.4850
  1736    1360.5179      0.5945
  1737    1360.3422      0.5505
  1738    1360.2831      0.5353
  1739    1360.5201      0.6533
  1740    1360.2257      0.4957
  1741    1360.5808      0.6216
  1742    1360.3145      0.4737
  1743    1360.2726      0.4396
  1744    1360.2229      0.4108
  1745    1360.2139      0.4183
  1746    1360.2521      0.4452
  1747    1360.4219      0.5275
  1748    1360.5710      0.6180
  1749    1360.6112      0.6288
  1750    1360.6157      0.6417
  1751    1360.4340      0.5403
  1752    1360.4200      0.5150
  1753    1360.4203      0.4776
  1754    1360.3112      0.4069
  1755    1360.2996      0.3870
  1756    1360.3180      0.3948
  1757    1360.4139      0.4590
  1758    1360.4788      0.5180
  1759    1360.6113      0.5932
  1760    1360.5398      0.5435
  1761    1360.7625      0.6056
  1762    1360.5912      0.4931
  1763    1360.5577      0.4420
  1764    1360.5649      0.4111
  1765    1360.4491      0.3452
  1766    1360.3718      0.3085
  1767    1360.5498      0.4023
  1768    1360.8094      0.5399
  1769    1361.0128      0.6340
  1770    1361.0024      0.6295
  1771    1360.8752      0.5558
  1772    1360.8320      0.5240
  1773    1360.6118      0.4074
  1774    1360.5686      0.3757
  1775    1360.4186      0.2997
  1776    1360.4529      0.3292
  1777    1360.5917      0.4175
  1778    1360.8361      0.5464
  1779    1360.8654      0.5680
  1780    1360.7393      0.5067
  1781    1360.8157      0.5375
  1782    1360.6086      0.4320
  1783    1360.4962      0.3751
  1784    1360.3744      0.3017
  1785    1360.4945      0.3356
  1786    1360.7740      0.4624
  1787    1360.9185      0.5535
  1788    1360.9467      0.5989
  1789    1360.8289      0.5749
  1790    1360.7216      0.5609
  1791    1360.5646      0.5090
  1792    1360.5656      0.5162
  1793    1360.6165      0.5140
  1794    1360.4821      0.4444
  1795    1360.4117      0.4329
  1796    1360.3433      0.4331
  1797    1360.2629      0.4316
  1798    1360.2351      0.4502
  1799    1360.2135      0.4714
  1800    1360.2140      0.4923
  1801    1360.4852      0.6337
  1802    1360.3793      0.6122
  1803    1360.2509      0.5703
  1804    1360.2592      0.5827
  1805    1360.2671      0.5891
  1806    1360.2103      0.5616
  1807    1360.1403      0.5247
  1808    1360.1357      0.5101
  1809    1360.1355      0.4999
  1810    1360.1119      0.5039
  1811    1360.1069      0.5108
  1812    1360.1219      0.5220
  1813    1360.1564      0.5463
  1814    1360.1584      0.5579
  1815    1360.1982      0.5836
  1816    1360.2913      0.6238
  1817    1360.2803      0.6139
  1818    1360.2439      0.5854
  1819    1360.2498      0.5644
  1820    1360.2162      0.5201
  1821    1360.1954      0.4819
  1822    1360.2007      0.4559
  1823    1360.1940      0.4357
  1824    1360.2395      0.4529
  1825    1360.2780      0.4816
  1826    1360.3595      0.5277
  1827    1360.5066      0.5815
  1828    1360.6154      0.5903
  1829    1360.6675      0.5610
  1830    1360.7330      0.5492
  1831    1360.6193      0.4667
  1832    1360.4944      0.3861
  1833    1360.3992      0.3329
  1834    1360.4039      0.3315
  1835    1360.6385      0.4438
  1836    1360.9871      0.6150
  1837    1361.0979      0.6788
  1838    1360.8896      0.5951
  1839    1360.7646      0.5442
  1840    1360.6656      0.4797
  1841    1360.5438      0.3923
  1842    1360.5051      0.3491
  1843    1360.4490      0.2997
  1844    1360.4714      0.3043
  1845    1360.5638      0.3748
  1846    1360.6313      0.4536
  1847    1360.6860      0.5181
  1848    1360.8561      0.6257
  1849    1360.8708      0.6498
  1850    1360.6718      0.5544
  1851    1360.6791      0.5295
  1852    1360.6842      0.4918
  1853    1360.6055      0.4257
  1854    1360.4775      0.3560
  1855    1360.3911      0.3192
  1856    1360.3646      0.3173
  1857    1360.4269      0.3762
  1858    1360.5905      0.4861
  1859    1360.7854      0.5997
  1860    1360.8523      0.6446
  1861    1360.7612      0.6005
  1862    1360.6617      0.5264
  1863    1360.5966      0.4604
  1864    1360.5974      0.4218
  1865    1360.5266      0.3638
  1866    1360.4760      0.3304
  1867    1360.3937      0.3082
  1868    1360.5188      0.3965
  1869    1360.7256      0.5272
  1870    1360.9438      0.6595
  1871    1360.8815      0.6580
  1872    1360.8142      0.6371
  1873    1360.6343      0.5541
  1874    1360.5161      0.4891
  1875    1360.3927      0.4152
  1876    1360.3696      0.3745
  1877    1360.3723      0.3633
  1878    1360.3165      0.3577
  1879    1360.2906      0.3894
  1880    1360.3927      0.4764
  1881    1360.5072      0.5660
  1882    1360.5190      0.5957
  1883    1360.5450      0.6068
  1884    1360.5374      0.6535
  1885    1360.4421      0.6006
  1886    1360.3239      0.4898
  1887    1360.2902      0.4513
  1888    1360.2529      0.4317
  1889    1360.2433      0.4214
  1890    1360.2710      0.4213
  1891    1360.4806      0.5649
  1892    1360.5214      0.7257
  1893    1360.6584      0.8149
  1894    1360.7927      0.7817
  1895    1360.6805      0.6804
  1896    1360.5203      0.5422
  1897    1360.3884      0.5185
  1898    1360.3708      0.5032
  1899    1360.3303      0.4295
  1900    1360.3116      0.4133
  1901    1360.2535      0.3696
