Mon May 18 13:20:09 2015
NRLTSI2 constructed from SORCE/TIM data on TIM absolute scale
Model uses  GOME Mg facular index and sunspot darking index with area-independent contrast
Background consistent with Wang, Lean, Sheeley (Ap. J. 2005)
  YEAR    NRLTSI2      
  1610    1360.4784
  1611    1360.5048
  1612    1360.8824
  1613    1361.0801
  1614    1361.0638
  1615    1360.9785
  1616    1360.3904
  1617    1360.3087
  1618    1360.2853
  1619    1360.3679
  1620    1360.3735
  1621    1360.3463
  1622    1360.3015
  1623    1360.2228
  1624    1360.1898
  1625    1360.3823
  1626    1360.3265
  1627    1360.2327
  1628    1360.2883
  1629    1360.2656
  1630    1360.1798
  1631    1360.2025
  1632    1360.1889
  1633    1360.3380
  1634    1360.2446
  1635    1360.2445
  1636    1360.3108
  1637    1360.5194
  1638    1360.6477
  1639    1360.7659
  1640    1360.3964
  1641    1360.6864
  1642    1360.6576
  1643    1360.3153
  1644    1360.2698
  1645    1360.1745
  1646    1360.1559
  1647    1360.1297
  1648    1360.0964
  1649    1360.0843
  1650    1360.0287
  1651    1360.0203
  1652    1360.0627
  1653    1360.0189
  1654    1360.0180
  1655    1360.0167
  1656    1360.0169
  1657    1360.0130
  1658    1360.0141
  1659    1360.0130
  1660    1360.0269
  1661    1360.0176
  1662    1360.0118
  1663    1360.0119
  1664    1360.0118
  1665    1360.0115
  1666    1360.0116
  1667    1360.0116
  1668    1360.0129
  1669    1360.0124
  1670    1360.0121
  1671    1360.0183
  1672    1360.0150
  1673    1360.0125
  1674    1360.0137
  1675    1360.0125
  1676    1360.0233
  1677    1360.0177
  1678    1360.0150
  1679    1360.0133
  1680    1360.0185
  1681    1360.0133
  1682    1360.0131
  1683    1360.0130
  1684    1360.0230
  1685    1360.0124
  1686    1360.0156
  1687    1360.0120
  1688    1360.0151
  1689    1360.0126
  1690    1360.0112
  1691    1360.0112
  1692    1360.0113
  1693    1360.0116
  1694    1360.0117
  1695    1360.0124
  1696    1360.0126
  1697    1360.0163
  1698    1360.0173
  1699    1360.0195
  1700    1360.0225
  1701    1360.0263
  1702    1360.0240
  1703    1360.0400
  1704    1360.0523
  1705    1360.0599
  1706    1360.0406
  1707    1360.0617
  1708    1360.0500
  1709    1360.0404
  1710    1360.0402
  1711    1360.0389
  1712    1360.0595
  1713    1360.0690
  1714    1360.0752
  1715    1360.0940
  1716    1360.1383
  1717    1360.1903
  1718    1360.1570
  1719    1360.3360
  1720    1360.3031
  1721    1360.2991
  1722    1360.2390
  1723    1360.2076
  1724    1360.2707
  1725    1360.2516
  1726    1360.3922
  1727    1360.4428
  1728    1360.6154
  1729    1360.3626
  1730    1360.5728
  1731    1360.2024
  1732    1360.2099
  1733    1360.2274
  1734    1360.2361
  1735    1360.3165
  1736    1360.5179
  1737    1360.3422
  1738    1360.2831
  1739    1360.5202
  1740    1360.2257
  1741    1360.5808
  1742    1360.3145
  1743    1360.2726
  1744    1360.2229
  1745    1360.2139
  1746    1360.2521
  1747    1360.4219
  1748    1360.5710
  1749    1360.6112
  1750    1360.6157
  1751    1360.4340
  1752    1360.4201
  1753    1360.4203
  1754    1360.3112
  1755    1360.2995
  1756    1360.3180
  1757    1360.4139
  1758    1360.4788
  1759    1360.6113
  1760    1360.5398
  1761    1360.7625
  1762    1360.5912
  1763    1360.5577
  1764    1360.5649
  1765    1360.4491
  1766    1360.3718
  1767    1360.5498
  1768    1360.8095
  1769    1361.0128
  1770    1361.0025
  1771    1360.8753
  1772    1360.8320
  1773    1360.6118
  1774    1360.5686
  1775    1360.4186
  1776    1360.4529
  1777    1360.5917
  1778    1360.8360
  1779    1360.8653
  1780    1360.7393
  1781    1360.8157
  1782    1360.6086
  1783    1360.4962
  1784    1360.3744
  1785    1360.4945
  1786    1360.7741
  1787    1360.9185
  1788    1360.9466
  1789    1360.8289
  1790    1360.7215
  1791    1360.5646
  1792    1360.5655
  1793    1360.6164
  1794    1360.4820
  1795    1360.4118
  1796    1360.3433
  1797    1360.2630
  1798    1360.2351
  1799    1360.2135
  1800    1360.2140
  1801    1360.4852
  1802    1360.3793
  1803    1360.2509
  1804    1360.2591
  1805    1360.2671
  1806    1360.2103
  1807    1360.1402
  1808    1360.1357
  1809    1360.1355
  1810    1360.1119
  1811    1360.1069
  1812    1360.1219
  1813    1360.1564
  1814    1360.1584
  1815    1360.1982
  1816    1360.2912
  1817    1360.2803
  1818    1360.2439
  1819    1360.2498
  1820    1360.2162
  1821    1360.1954
  1822    1360.2007
  1823    1360.1940
  1824    1360.2395
  1825    1360.2780
  1826    1360.3595
  1827    1360.5066
  1828    1360.6153
  1829    1360.6675
  1830    1360.7330
  1831    1360.6193
  1832    1360.4944
  1833    1360.3992
  1834    1360.4039
  1835    1360.6386
  1836    1360.9871
  1837    1361.0979
  1838    1360.8896
  1839    1360.7647
  1840    1360.6656
  1841    1360.5438
  1842    1360.5051
  1843    1360.4490
  1844    1360.4714
  1845    1360.5638
  1846    1360.6314
  1847    1360.6860
  1848    1360.8561
  1849    1360.8708
  1850    1360.6718
  1851    1360.6791
  1852    1360.6842
  1853    1360.6055
  1854    1360.4776
  1855    1360.3911
  1856    1360.3646
  1857    1360.4269
  1858    1360.5905
  1859    1360.7854
  1860    1360.8523
  1861    1360.7612
  1862    1360.6617
  1863    1360.5965
  1864    1360.5974
  1865    1360.5266
  1866    1360.4759
  1867    1360.3937
  1868    1360.5188
  1869    1360.7256
  1870    1360.9439
  1871    1360.8815
  1872    1360.8142
  1873    1360.6343
  1874    1360.5161
  1875    1360.3927
  1876    1360.3696
  1877    1360.3723
  1878    1360.3165
  1879    1360.2907
  1880    1360.3927
  1881    1360.5072
  1882    1360.5190
  1883    1360.5450
  1884    1360.5374
  1885    1360.4421
  1886    1360.3238
  1887    1360.2902
  1888    1360.2529
  1889    1360.2433
  1890    1360.2710
  1891    1360.4806
  1892    1360.5214
  1893    1360.6585
  1894    1360.7927
  1895    1360.6806
  1896    1360.5203
  1897    1360.3884
  1898    1360.3708
  1899    1360.3303
  1900    1360.3117
  1901    1360.2535
  1902    1360.2774
  1903    1360.4389
  1904    1360.6947
  1905    1360.4428
  1906    1360.6842
  1907    1360.5348
  1908    1360.6356
  1909    1360.5093
  1910    1360.4260
  1911    1360.3478
  1912    1360.3026
  1913    1360.3064
  1914    1360.3967
  1915    1360.6537
  1916    1360.8815
  1917    1360.9834
  1918    1360.9815
  1919    1360.7237
  1920    1360.5790
  1921    1360.4954
  1922    1360.4135
  1923    1360.4317
  1924    1360.4756
  1925    1360.6324
  1926    1360.7069
