Tue Jun 16 12:04:38 2015
NRLTSI2 cycle constructed from SORCE/TIM data on TIM absolute scale
Model uses  GOME Mg facular index and sunspot darkening index with area-independent contrast
Cycle only - no background facular component
  YEAR    NRLTSI2      
  1610    1360.7572
  1611    1360.7792
  1612    1361.0955
  1613    1361.2611
  1614    1361.2474
  1615    1361.1759
  1616    1360.6834
  1617    1360.6150
  1618    1360.5954
  1619    1360.6682
  1620    1360.6752
  1621    1360.6727
  1622    1360.6685
  1623    1360.6612
  1624    1360.6378
  1625    1360.7982
  1626    1360.7517
  1627    1360.6721
  1628    1360.7185
  1629    1360.6902
  1630    1360.6033
  1631    1360.6019
  1632    1360.5861
  1633    1360.6928
  1634    1360.6056
  1635    1360.6089
  1636    1360.6656
  1637    1360.8479
  1638    1360.9613
  1639    1361.0618
  1640    1360.7535
  1641    1360.9968
  1642    1360.9785
  1643    1360.6929
  1644    1360.6542
  1645    1360.5785
  1646    1360.5765
  1647    1360.5741
  1648    1360.5710
  1649    1360.5698
  1650    1360.5647
  1651    1360.5639
  1652    1360.6029
  1653    1360.5681
  1654    1360.5674
  1655    1360.5663
  1656    1360.5665
  1657    1360.5632
  1658    1360.5641
  1659    1360.5632
  1660    1360.5748
  1661    1360.5677
  1662    1360.5631
  1663    1360.5631
  1664    1360.5631
  1665    1360.5631
  1666    1360.5631
  1667    1360.5631
  1668    1360.5632
  1669    1360.5631
  1670    1360.5631
  1671    1360.5683
  1672    1360.5653
  1673    1360.5631
  1674    1360.5642
  1675    1360.5631
  1676    1360.5718
  1677    1360.5671
  1678    1360.5646
  1679    1360.5632
  1680    1360.5677
  1681    1360.5634
  1682    1360.5632
  1683    1360.5632
  1684    1360.5715
  1685    1360.5631
  1686    1360.5664
  1687    1360.5634
  1688    1360.5660
  1689    1360.5642
  1690    1360.5630
  1691    1360.5630
  1692    1360.5630
  1693    1360.5631
  1694    1360.5631
  1695    1360.5638
  1696    1360.5632
  1697    1360.5635
  1698    1360.5636
  1699    1360.5638
  1700    1360.5653
  1701    1360.5680
  1702    1360.5659
  1703    1360.5793
  1704    1360.5897
  1705    1360.5960
  1706    1360.5795
  1707    1360.5961
  1708    1360.5835
  1709    1360.5748
  1710    1360.5678
  1711    1360.5656
  1712    1360.5675
  1713    1360.5701
  1714    1360.5738
  1715    1360.5886
  1716    1360.6229
  1717    1360.6637
  1718    1360.6263
  1719    1360.7642
  1720    1360.7173
  1721    1360.7057
  1722    1360.6379
  1723    1360.6113
  1724    1360.6642
  1725    1360.6501
  1726    1360.7715
  1727    1360.8116
  1728    1360.9515
  1729    1360.7391
  1730    1360.9159
  1731    1360.5922
  1732    1360.5972
  1733    1360.5991
  1734    1360.6054
  1735    1360.6804
  1736    1360.8612
  1737    1360.7334
  1738    1360.6902
  1739    1360.8967
  1740    1360.6338
  1741    1360.9136
  1742    1360.6726
  1743    1360.6284
  1744    1360.5828
  1745    1360.5819
  1746    1360.6197
  1747    1360.7664
  1748    1360.9058
  1749    1360.9354
  1750    1360.9456
  1751    1360.7809
  1752    1360.7581
  1753    1360.7364
  1754    1360.6318
  1755    1360.6135
  1756    1360.6288
  1757    1360.7219
  1758    1360.7939
  1759    1360.9148
  1760    1360.8442
  1761    1361.0099
  1762    1360.8448
  1763    1360.7956
  1764    1360.7819
  1765    1360.6761
  1766    1360.6099
  1767    1360.7680
  1768    1360.9990
  1769    1361.1720
  1770    1361.1633
  1771    1361.0465
  1772    1361.0029
  1773    1360.8070
  1774    1360.7634
  1775    1360.6320
  1776    1360.6691
  1777    1360.8012
  1778    1361.0183
  1779    1361.0478
  1780    1360.9389
  1781    1361.0012
  1782    1360.8194
  1783    1360.7209
  1784    1360.6074
  1785    1360.6970
  1786    1360.9334
  1787    1361.0703
  1788    1361.1132
  1789    1361.0307
  1790    1360.9601
  1791    1360.8386
  1792    1360.8434
  1793    1360.8717
  1794    1360.7530
  1795    1360.7055
  1796    1360.6658
  1797    1360.6182
  1798    1360.6128
  1799    1360.6125
  1800    1360.6250
  1801    1360.8650
  1802    1360.7909
  1803    1360.6918
  1804    1360.7039
  1805    1360.7121
  1806    1360.6632
  1807    1360.6010
  1808    1360.5898
  1809    1360.5837
  1810    1360.5724
  1811    1360.5735
  1812    1360.5888
  1813    1360.6229
  1814    1360.6309
  1815    1360.6690
  1816    1360.7465
  1817    1360.7343
  1818    1360.6965
  1819    1360.6877
  1820    1360.6424
  1821    1360.6082
  1822    1360.5961
  1823    1360.5805
  1824    1360.6169
  1825    1360.6560
  1826    1360.7302
  1827    1360.8470
  1828    1360.9154
  1829    1360.9287
  1830    1360.9600
  1831    1360.8458
  1832    1360.7263
  1833    1360.6400
  1834    1360.6420
  1835    1360.8437
  1836    1361.1460
  1837    1361.2475
  1838    1361.0777
  1839    1360.9755
  1840    1360.8804
  1841    1360.7587
  1842    1360.7111
  1843    1360.6496
  1844    1360.6654
  1845    1360.7601
  1846    1360.8452
  1847    1360.9145
  1848    1361.0760
  1849    1361.0986
  1850    1360.9274
  1851    1360.9171
  1852    1360.8982
  1853    1360.8140
  1854    1360.6990
  1855    1360.6273
  1856    1360.6109
  1857    1360.6813
  1858    1360.8403
  1859    1361.0198
  1860    1361.0848
  1861    1361.0062
  1862    1360.9053
  1863    1360.8290
  1864    1360.8070
  1865    1360.7320
  1866    1360.6832
  1867    1360.6224
  1868    1360.7466
  1869    1360.9429
  1870    1361.1467
  1871    1361.1096
  1872    1361.0584
  1873    1360.9054
  1874    1360.7988
  1875    1360.6841
  1876    1360.6470
  1877    1360.6421
  1878    1360.6063
  1879    1360.6098
  1880    1360.7197
  1881    1360.8384
  1882    1360.8625
  1883    1360.8841
  1884    1360.8434
  1885    1360.7694
  1886    1360.6766
  1887    1360.6635
  1888    1360.6353
  1889    1360.6228
  1890    1360.6407
  1891    1360.8376
  1892    1360.8651
  1893    1360.9897
  1894    1361.1148
  1895    1361.0018
  1896    1360.8490
  1897    1360.7299
  1898    1360.7253
  1899    1360.6923
  1900    1360.6724
  1901    1360.5981
  1902    1360.5975
  1903    1360.7388
  1904    1360.9802
  1905    1360.7201
  1906    1360.9617
  1907    1360.8248
  1908    1360.9449
  1909    1360.8343
  1910    1360.7554
  1911    1360.6708
  1912    1360.6122
  1913    1360.6009
  1914    1360.6797
  1915    1360.9309
  1916    1361.1551
  1917    1361.2566
  1918    1361.2556
  1919    1360.9997
  1920    1360.8501
  1921    1360.7523
  1922    1360.6525
  1923    1360.6560
  1924    1360.6899
  1925    1360.8400
  1926    1360.9074
  1927    1361.1078
  1928    1360.9413
  1929    1360.8965
  1930    1360.9297
  1931    1360.8085
  1932    1360.6911
  1933    1360.6140
  1934    1360.6755
  1935    1360.8617
  1936    1361.2332
  1937    1361.1093
  1938    1361.0390
  1939    1361.0417
  1940    1360.9912
  1941    1360.9197
  1942    1360.7956
  1943    1360.6203
  1944    1360.6730
  1945    1360.9058
  1946    1360.9099
  1947    1361.1199
  1948    1361.3042
  1949    1361.1835
  1950    1360.9891
  1951    1360.7245
  1952    1360.7794
  1953    1360.6842
  1954    1360.7040
  1955    1360.8319
  1956    1361.1874
  1957    1361.6293
  1958    1361.5406
  1959    1361.2520
  1960    1361.2500
  1961    1360.9379
  1962    1360.7724
  1963    1360.7261
  1964    1360.7411
  1965    1360.7698
  1966    1360.9321
  1967    1361.0442
  1968    1361.1052
  1969    1361.1803
  1970    1361.1648
  1971    1360.9118
  1972    1361.0071
  1973    1360.8342
  1974    1360.7520
  1975    1360.7010
  1976    1360.6804
  1977    1360.8844
  1978    1361.2087
  1979    1361.6015
  1980    1361.6397
  1981    1361.6833
  1982    1361.2310
  1983    1361.2137
  1984    1360.7904
  1985    1360.6331
  1986    1360.6418
  1987    1360.7828
  1988    1361.1195
  1989    1361.6434
  1990    1361.5522
  1991    1361.5178
  1992    1361.3083
  1993    1360.9428
  1994    1360.7419
  1995    1360.7317
  1996    1360.6762
  1997    1360.8072
  1998    1361.1759
  1999    1361.4800
  2000    1361.6603
  2001    1361.5686
  2002    1361.6332
  2003    1361.1283
  2004    1360.9179
  2005    1360.7005
  2006    1360.6796
  2007    1360.6038
  2008    1360.6098
  2009    1360.6066
  2010    1360.7854
  2011    1361.0692
  2012    1361.1926
  2013    1361.2630
  2014    1361.3862
