Annual Average Facular and Sunspot Indices from calc_spot_fac_cycle_history.pro
Spot Index is Sunspot Blocking Function with Area-Independent Contrast
Facular Index is on GOME Mg index scale
Mon Jun 15 10:20:21 2015
  YEAR       SPOTAV         FACAV-CYCLE
  1882     1375.5012        0.15584336
  1883     1383.8551        0.15664379
  1884     1245.6983        0.15739780
  1885      983.1329        0.15580692
  1886      461.8317        0.15303615
  1887      212.4309        0.15193410
  1888      110.6953        0.15132151
  1889       88.7443        0.15114361
  1890      115.5749        0.15137969
  1891      632.8855        0.15488001
  1892     1378.8703        0.15809069
  1893     1718.7690        0.16035661
  1894     1502.0097        0.16037623
  1895     1157.0758        0.15817334
  1896      648.0469        0.15502264
  1897      592.3010        0.15394462
  1898      470.4967        0.15341972
  1899      140.9533        0.15185194
  1900       92.0077        0.15151129
  1901       35.6672        0.15075164
  1902       74.0757        0.15090319
  1903      369.1602        0.15310696
  1904      562.3200        0.15561559
  1905     1424.7401        0.15723780
  1906      911.2343        0.15689292
  1907     1266.1190        0.15734676
  1908      829.8687        0.15644401
  1909      819.1216        0.15560873
  1910      310.5826        0.15298923
  1911       77.2074        0.15144065
  1912       43.9543        0.15088667
  1913        8.9884        0.15066433
  1914      165.5084        0.15186088
  1915      788.8018        0.15617768
  1916      844.6937        0.15800861
  1917     1825.8296        0.16270022
  1918     1303.8166        0.16058395
  1919     1256.2288        0.15855882
  1920      731.3131        0.15536733
  1921      498.5908        0.15372656
  1922      302.7575        0.15222043
  1923       64.3035        0.15128198
  1924      306.8933        0.15250496
  1925      946.5734        0.15616426
  1926     1406.0312        0.15850364
  1927     1225.4448        0.15920894
  1928     1639.3867        0.15968916
  1929     1482.8076        0.15873580
  1930      618.2382        0.15548016
  1931      326.1451        0.15343222
  1932      189.4931        0.15203950
  1933      105.1757        0.15114641
  1934      117.2111        0.15163595
  1935      683.6239        0.15525715
  1936     1304.5240        0.16042611
  1937     2413.4997        0.16401980
  1938     2349.1010        0.16325627
  1939     1882.9312        0.16139216
  1940     1256.0815        0.15849764
  1941      800.3962        0.15614480
  1942      520.4978        0.15412534
  1943      359.8408        0.15222074
  1944      136.0083        0.15169344
  1945      476.0473        0.15473454
  1946     2044.2829        0.16109998
  1947     3067.9098        0.16673962
  1948     2263.5185        0.16480961
  1949     2502.5047        0.16491105
  1950     1422.2988        0.15915391
  1951     1360.6626        0.15701100
  1952      477.3998        0.15383455
  1953      172.5807        0.15192133
  1954       42.7933        0.15153929
  1955      603.5649        0.15472029
  1956     2619.5454        0.16541177
  1957     3430.8006        0.17185342
  1958     3496.6814        0.17148469
  1959     3328.3204        0.16873801
  1960     1899.8826        0.16295196
  1961      713.3272        0.15592305
  1962      531.3604        0.15400259
  1963      341.6417        0.15290500
  1964       55.2012        0.15185451
  1965      126.7360        0.15234916
  1966      655.3102        0.15564682
  1967     1697.3007        0.16066024
  1968     1797.8454        0.16150269
  1969     1708.9323        0.16168148
  1970     1888.8078        0.16229683
  1971     1167.0017        0.15756948
  1972     1071.7018        0.15786618
  1973      547.2763        0.15450971
  1974      464.3054        0.15358552
  1975      206.6473        0.15217955
  1976      194.9774        0.15198478
  1977      355.7098        0.15409491
  1978     1403.7752        0.16065197
  1979     2340.0138        0.16724712
  1980     2331.5985        0.16748661
  1981     2416.7959        0.16814301
  1982     2398.1751        0.16482959
  1983      953.8480        0.15886932
  1984      878.6758        0.15553497
  1985      190.4300        0.15162795
  1986      128.7331        0.15144055
  1987      268.6856        0.15301589
  1988     1335.1932        0.15973607
  1989     2463.3181        0.16804493
  1990     2051.8351        0.16572932
  1991     2548.2082        0.16748877
  1992     1443.2248        0.16152404
  1993      748.1854        0.15609890
  1994      388.0306        0.15320548
  1995      197.7392        0.15236356
  1996       96.5650        0.15155710
  1997      219.3193        0.15299123
  1998      785.1492        0.15791699
  1999     1235.2007        0.16191315
  2000     1745.2539        0.16526475
  2001     1798.9526        0.16482548
  2002     1931.4014        0.16582274
  2003     1167.7437        0.15912219
  2004      752.4507        0.15593798
  2005      581.1355        0.15368877
  2006      269.6146        0.15228082
  2007      150.4855        0.15125699
  2008       28.9544        0.15080861
  2009       30.7214        0.15079260
  2010      220.7323        0.15284082
  2011      799.2491        0.15721014
  2012      846.6461        0.15828497
  2013      901.4292        0.15901096
  2014     1339.2521        0.16166192
