Monthly Average Facular and Sunspot Indices from calc_spot_fac_history.pro
Spot Index is Sunspot Blocking Function with Area-Independent Contrast
Facular Index is on GOME Mg index scale
Mon Apr  6 13:19:17 2015
  YEAR  MONTH        SPOTAV          FACAV
  1882     1        505.2106        0.15333269
  1882     2        975.1804        0.15459436
  1882     3       1352.6442        0.15485398
  1882     4       2517.9660        0.15564026
  1882     5       2104.8058        0.15380880
  1882     6        927.4523        0.15259399
  1882     7        694.1440        0.15282739
  1882     8        925.1323        0.15252679
  1882     9       1350.8190        0.15302040
  1882    10       1933.2087        0.15352189
  1882    11       2770.4887        0.15472777
  1882    12        476.8252        0.15337709
  1883     1       1054.9451        0.15375001
  1883     2        948.4092        0.15332096
  1883     3        754.6338        0.15316998
  1883     4       1481.7003        0.15442056
  1883     5        370.8174        0.15322223
  1883     6       1775.8158        0.15405579
  1883     7       2409.9657        0.15478839
  1883     8        716.1058        0.15389369
  1883     9       1427.8067        0.15454499
  1883    10       2000.4501        0.15553130
  1883    11       2022.3264        0.15692469
  1883    12       1638.9594        0.15665538
  1884     1       1908.6837        0.15760617
  1884     2       1804.6265        0.15755529
  1884     3       1572.1856        0.15732089
  1884     4       1880.3472        0.15608438
  1884     5       1401.8545        0.15575329
  1884     6        618.6085        0.15502602
  1884     7        717.9752        0.15427829
  1884     8        862.7967        0.15423308
  1884     9       1317.6950        0.15444033
  1884    10       1220.7337        0.15363032
  1884    11        543.9131        0.15298383
  1884    12       1114.9476        0.15364086
  1885     1        649.6826        0.15370363
  1885     2       1338.8460        0.15465032
  1885     3        945.4103        0.15338675
  1885     4       1069.0245        0.15345432
  1885     5       1271.5158        0.15533445
  1885     6       2132.5784        0.15525657
  1885     7       1321.2369        0.15453992
  1885     8        742.1639        0.15332851
  1885     9        783.0957        0.15271087
  1885    10        818.3050        0.15238011
  1885    11        524.9544        0.15184137
  1885    12        253.8223        0.15106399
  1886     1        660.9897        0.15093645
  1886     2        384.6093        0.15113505
  1886     3       1266.1125        0.15246937
  1886     4        706.6820        0.15211125
  1886     5        797.2243        0.15110053
  1886     6        435.8879        0.15099879
  1886     7        543.3474        0.15069487
  1886     8        141.0715        0.15023920
  1886     9        259.6605        0.15005843
  1886    10         76.2289        0.14904692
  1886    11          2.5099        0.14839025
  1886    12        245.9063        0.14898516
  1887     1        108.1517        0.14917908
  1887     2         83.6714        0.14936588
  1887     3         27.5059        0.14886205
  1887     4         55.7108        0.14889170
  1887     5        307.5952        0.14963070
  1887     6        354.5380        0.14990418
  1887     7        386.0630        0.15004262
  1887     8        210.5515        0.14976042
  1887     9        178.5025        0.14879822
  1887    10         83.1794        0.14872445
  1887    11         52.3995        0.14875534
  1887    12        682.1128        0.14921616
  1888     1        153.0741        0.14926971
  1888     2        117.8637        0.14860080
  1888     3        115.7191        0.14852484
  1888     4         26.7924        0.14856227
  1888     5        218.1035        0.14841782
  1888     6         50.2760        0.14845366
  1888     7         24.1726        0.14837288
  1888     8         60.5373        0.14858113
  1888     9        137.8616        0.14881986
  1888    10         10.0190        0.14833955
  1888    11        309.7131        0.14860114
  1888    12        107.3148        0.14846089
  1889     1          4.0031        0.14804228
  1889     2         45.6920        0.14825234
  1889     3         27.6352        0.14848039
  1889     4         34.9931        0.14825799
  1889     5          9.9479        0.14810875
  1889     6        260.0671        0.14844659
  1889     7        188.8759        0.14897525
  1889     8        319.7234        0.14930255
  1889     9        100.3649        0.14867232
  1889    10         14.3369        0.14819413
  1889    11          0.0000        0.14800517
  1889    12         56.4307        0.14835131
  1890     1         37.3467        0.14845451
  1890     2          1.2063        0.14814370
  1890     3         64.8183        0.14824073
  1890     4         13.8597        0.14828318
  1890     5         26.7427        0.14858704
  1890     6          9.4167        0.14843282
  1890     7        137.9410        0.14893586
  1890     8        231.8530        0.14912533
  1890     9        267.1404        0.14956888
  1890    10        260.1836        0.14906136
  1890    11        245.5408        0.14882063
  1890    12         82.1578        0.14908755
  1891     1        227.9370        0.14973109
  1891     2        334.7884        0.15058710
  1891     3        138.6108        0.15027451
  1891     4        405.3093        0.15122571
  1891     5        653.0880        0.15296937
  1891     6        738.7312        0.15342738
  1891     7       1102.0728        0.15351578
  1891     8        515.2281        0.15319581
  1891     9       1395.3982        0.15338375
  1891    10        757.4047        0.15358619
  1891    11        758.4077        0.15308981
  1891    12        563.5205        0.15278815
  1892     1       1295.3538        0.15496299
  1892     2       2114.3939        0.15494328
  1892     3        813.4520        0.15416866
  1892     4       1109.1870        0.15534148
  1892     5       1801.4163        0.15607970
  1892     6       1236.0616        0.15666521
  1892     7       2167.3458        0.15594408
  1892     8       1695.1613        0.15706427
  1892     9       1098.3208        0.15565705
  1892    10       1092.0821        0.15527083
  1892    11       1099.6984        0.15500088
  1892    12       1040.0614        0.15642470
  1893     1       1442.0565        0.15577816
  1893     2       1420.8883        0.15542942
  1893     3       1086.3967        0.15615590
  1893     4       1407.9376        0.15786561
  1893     5       1319.3461        0.15894252
  1893     6       1631.6300        0.15873989
  1893     7       1800.0323        0.15913054
  1893     8       2736.5926        0.16076505
  1893     9       2071.8438        0.15825384
  1893    10       1707.2411        0.15854935
  1893    11       1619.4360        0.15787494
  1893    12       2348.3476        0.15811261
  1894     1       1872.8251        0.16013005
  1894     2       1711.6526        0.15912445
  1894     3        741.4829        0.15707767
  1894     4       1876.2195        0.15764691
  1894     5       2036.5895        0.15914047
  1894     6       2193.9758        0.16015844
  1894     7       2040.2230        0.16031946
  1894     8       1442.3590        0.15775691
  1894     9        772.6368        0.15717119
  1894    10       1471.2824        0.15630177
  1894    11        716.9901        0.15612956
  1894    12       1153.7087        0.15594509
  1895     1       1116.4529        0.15624948
  1895     2       1078.2077        0.15713272
  1895     3       1242.4932        0.15663295
  1895     4       1209.2059        0.15690038
  1895     5       1026.9688        0.15631098
  1895     6       1356.1147        0.15615650
  1895     7        509.6281        0.15549875
  1895     8       1681.7523        0.15545996
  1895     9       1024.0531        0.15490700
  1895    10       1543.5273        0.15472693
  1895    11        854.8109        0.15487270
  1895    12       1228.1229        0.15573519
  1896     1        308.3755        0.15362448
  1896     2        986.4575        0.15367586
  1896     3        634.8643        0.15342666
  1896     4        528.7845        0.15285409
  1896     5        264.1846        0.15166671
  1896     6        999.9731        0.15240333
  1896     7        594.9618        0.15281933
  1896     8        348.2738        0.15172689
  1896     9       1390.6171        0.15251400
  1896    10        375.1985        0.15209391
  1896    11        671.6293        0.15245721
  1896    12        727.2960        0.15281709
  1897     1       1604.0723        0.15274566
  1897     2       1132.7703        0.15232878
  1897     3        598.5056        0.15239498
  1897     4        431.6224        0.15231058
  1897     5        541.1547        0.15077503
  1897     6        222.9305        0.15030916
  1897     7        222.5477        0.15145091
  1897     8        519.0787        0.15147436
  1897     9        884.2656        0.15242640
  1897    10        114.8525        0.15087281
  1897    11         36.5399        0.14978795
  1897    12        825.9667        0.15116366
  1898     1        488.1528        0.15213413
  1898     2        710.1106        0.15183782
  1898     3        778.5809        0.15127440
  1898     4        186.1029        0.15022888
  1898     5        274.5516        0.15076477
  1898     6         87.1387        0.15045674
  1898     7         65.7139        0.14973756
  1898     8        606.6335        0.15088925
  1898     9       1023.6165        0.15088898
  1898    10        779.5533        0.15133824
  1898    11        427.6213        0.15113713
  1898    12        236.2920        0.14995785
  1899     1        265.2792        0.14990919
  1899     2         66.5726        0.14931754
  1899     3        328.0552        0.14947634
  1899     4        185.9851        0.14974165
  1899     5         62.3599        0.14937291
  1899     6        280.4015        0.14973648
  1899     7        222.8812        0.14951945
  1899     8          2.0426        0.14848932
  1899     9         52.5799        0.14851262
  1899    10        108.4126        0.14885050
  1899    11         40.1203        0.14893521
  1899    12         69.3985        0.14926241
  1900     1         79.0955        0.14910426
  1900     2        137.8024        0.14917618
  1900     3        140.1374        0.14894800
  1900     4         97.6912        0.14944060
  1900     5        229.8950        0.14943382
  1900     6        139.6523        0.14927138
  1900     7         60.6168        0.14893981
  1900     8         14.5098        0.14860782
  1900     9         27.9320        0.14882168
  1900    10        157.6717        0.14885786
  1900    11         20.8791        0.14848653
  1900    12          0.0000        0.14809389
  1901     1          0.4070        0.14800741
  1901     2          6.6376        0.14812370
  1901     3         15.9543        0.14829659
  1901     4          0.0000        0.14814486
  1901     5        273.2348        0.14846604
  1901     6         58.7947        0.14871079
  1901     7          0.5819        0.14825680
  1901     8          0.0000        0.14809920
  1901     9          0.5244        0.14809298
  1901    10         15.0630        0.14831262
  1901    11         53.0216        0.14858918
  1901    12          0.0000        0.14831237
  1902     1        154.0374        0.14849884
  1902     2          0.5240        0.14830104
