Facular and Sunspot Indices from calc_spot_fac_history.pro
Spot Index is Sunspot Blocking Function
Facular Index is on GOME Mg index scale
Tue Nov 11 17:02:23 2014
  YEAR  MONTH    DAY       SPOT          FAC
  1882     1     1        66.1600       0.152806
  1882     1     2       102.9600       0.153409
  1882     1     3       154.6200       0.153147
  1882     1     4        63.1500       0.153086
  1882     1     5       151.0200       0.152311
  1882     1     6       211.8400       0.152407
  1882     1     7       198.2100       0.153416
  1882     1     8        85.5800       0.153566
  1882     1     9        26.8800       0.152841
  1882     1    10        69.0250       0.152628
  1882     1    11       111.1700       0.152926
  1882     1    12       153.3150       0.153171
  1882     1    13       195.4600       0.153003
  1882     1    14       136.5900       0.153551
  1882     1    15       107.5200       0.153905
  1882     1    16       120.3800       0.153760
  1882     1    17       108.3400       0.153208
  1882     1    18        86.4800       0.152708
  1882     1    19       120.8700       0.152933
  1882     1    20       125.7300       0.153565
  1882     1    21       155.9600       0.153898
  1882     1    22       131.6600       0.153681
  1882     1    23       138.4300       0.153709
  1882     1    24       177.5400       0.153676
  1882     1    25       130.8600       0.153639
  1882     1    26       164.9700       0.153401
  1882     1    27       173.5600       0.153571
  1882     1    28       269.8000       0.153826
  1882     1    29       204.4700       0.154031
  1882     1    30       187.1600       0.154190
  1882     1    31       183.4600       0.154140
  1882     2     1       205.9600       0.153941
  1882     2     2       221.9600       0.154089
  1882     2     3       180.0800       0.153781
  1882     2     4       168.0100       0.154388
  1882     2     5       176.6500       0.154175
  1882     2     6       223.9200       0.154419
  1882     2     7       389.5100       0.154714
  1882     2     8       507.8600       0.154055
  1882     2     9       461.9300       0.154272
  1882     2    10       490.5900       0.154451
  1882     2    11       407.7900       0.154472
  1882     2    12       471.8200       0.154607
  1882     2    13       388.6600       0.154831
  1882     2    14       505.9800       0.155519
  1882     2    15       554.3000       0.155449
  1882     2    16       455.8000       0.155222
  1882     2    17       349.9100       0.155662
  1882     2    18       310.3200       0.155907
  1882     2    19       174.0300       0.155384
  1882     2    20       185.0900       0.154857
  1882     2    21       187.6800       0.154329
  1882     2    22       194.0000       0.154206
  1882     2    23       120.6200       0.154135
  1882     2    24       103.0400       0.154667
  1882     2    25        73.5900       0.154704
  1882     2    26        43.4800       0.154847
  1882     2    27        42.6800       0.154526
  1882     2    28        43.9400       0.153588
  1882     3     1        70.3200       0.153420
  1882     3     2       149.7500       0.153659
  1882     3     3       313.5200       0.153534
  1882     3     4       378.9400       0.153355
  1882     3     5       269.5800       0.153480
  1882     3     6       302.3000       0.154152
  1882     3     7       314.0400       0.154704
  1882     3     8       379.6200       0.154548
  1882     3     9       409.5600       0.154444
  1882     3    10       411.5000       0.155621
  1882     3    11       507.8900       0.155980
  1882     3    12       487.6300       0.156172
  1882     3    13       488.1700       0.156515
  1882     3    14       418.0900       0.155947
  1882     3    15       237.2900       0.155435
  1882     3    16       204.2700       0.155582
  1882     3    17       202.8600       0.155478
  1882     3    18       234.1000       0.155330
  1882     3    19       270.9600       0.154162
  1882     3    20       504.4400       0.153759
  1882     3    21       732.5800       0.154274
  1882     3    22       726.0900       0.154739
  1882     3    23       694.2900       0.155263
  1882     3    24       535.4700       0.155326
  1882     3    25       603.7300       0.155443
  1882     3    26       587.2500       0.155615
  1882     3    27       450.1100       0.155321
  1882     3    28       312.2100       0.154871
  1882     3    29       246.3500       0.154620
  1882     3    30       227.4200       0.154923
  1882     3    31       205.2900       0.155378
  1882     4     1       155.0300       0.156033
  1882     4     2       144.3500       0.155873
  1882     4     3       154.7000       0.156468
  1882     4     4       275.6900       0.156298
  1882     4     5       286.7800       0.155968
  1882     4     6       343.9900       0.155525
  1882     4     7       366.1700       0.155087
  1882     4     8       346.1300       0.155718
  1882     4     9       216.3300       0.156083
  1882     4    10       167.3100       0.156040
  1882     4    11       467.9400       0.155916
  1882     4    12       386.4300       0.156051
  1882     4    13       598.4500       0.156546
  1882     4    14      1107.5000       0.156182
  1882     4    15      1024.6700       0.155715
  1882     4    16      1586.7700       0.156107
  1882     4    17      2232.3999       0.156498
  1882     4    18      2595.1899       0.156783
  1882     4    19      2253.8999       0.156511
  1882     4    20      2238.3401       0.156354
  1882     4    21      2114.4399       0.156149
  1882     4    22      1096.6899       0.155895
  1882     4    23       808.1500       0.155744
  1882     4    24       448.0900       0.155544
  1882     4    25       196.8900       0.155239
  1882     4    26       125.5900       0.154015
  1882     4    27       150.4100       0.153951
  1882     4    28       120.0000       0.153583
  1882     4    29        44.0900       0.154129
  1882     4    30        47.2200       0.153649
  1882     5     1        89.0100       0.153162
  1882     5     2       158.2900       0.153133
  1882     5     3       190.0600       0.153203
  1882     5     4       177.0800       0.153630
  1882     5     5       324.8900       0.153507
  1882     5     6       476.0600       0.153593
  1882     5     7       576.4100       0.153830
  1882     5     8       669.0400       0.153770
  1882     5     9       620.5500       0.154337
  1882     5    10       741.2000       0.154659
  1882     5    11       677.1300       0.155180
  1882     5    12       809.4100       0.155599
  1882     5    13       891.1600       0.155205
  1882     5    14      1190.5400       0.155666
  1882     5    15      1286.8900       0.155563
  1882     5    16      1585.6700       0.155454
  1882     5    17      1682.5601       0.154934
  1882     5    18      1772.4500       0.154974
  1882     5    19      1289.3800       0.154659
  1882     5    20      1058.0100       0.154130
  1882     5    21       809.4100       0.153948
  1882     5    22       529.3100       0.153760
  1882     5    23       332.3800       0.153370
  1882     5    24       213.7400       0.152972
  1882     5    25       105.0900       0.152629
  1882     5    26        60.4800       0.152239
  1882     5    27        80.4700       0.152526
  1882     5    28        88.2800       0.152416
  1882     5    29       143.9000       0.151895
  1882     5    30       181.7000       0.151928
  1882     5    31       216.2100       0.152931
  1882     6     1       204.1700       0.152916
  1882     6     2       222.1300       0.152798
  1882     6     3       204.3500       0.152879
  1882     6     4       180.4400       0.152667
  1882     6     5       138.7800       0.152812
  1882     6     6       122.5000       0.152691
  1882     6     7        77.9900       0.152461
  1882     6     8        42.0200       0.152219
  1882     6     9        76.5000       0.152133
  1882     6    10        79.8400       0.152298
  1882     6    11       217.1900       0.152718
  1882     6    12       304.6900       0.152480
  1882     6    13       325.4100       0.152393
  1882     6    14       545.9900       0.152312
  1882     6    15       544.0200       0.152383
  1882     6    16       596.7900       0.152267
  1882     6    17       582.4000       0.152248
  1882     6    18       412.6400       0.152083
  1882     6    19       301.4200       0.152215
  1882     6    20       312.6900       0.152251
  1882     6    21       202.4900       0.152345
  1882     6    22       179.6400       0.152399
  1882     6    23       150.5100       0.152147
  1882     6    24        81.4500       0.152299
  1882     6    25        75.6700       0.152856
  1882     6    26        74.9100       0.152800
  1882     6    27       271.0900       0.153301
  1882     6    28       512.6100       0.153493
  1882     6    29       433.1200       0.153828
  1882     6    30       433.7500       0.154005
  1882     7     1       467.9600       0.154449
  1882     7     2       274.5000       0.154786
  1882     7     3       253.4000       0.154274
  1882     7     4       191.5300       0.153701
  1882     7     5       154.4000       0.153477
  1882     7     6        59.2700       0.152806
  1882     7     7        38.9300       0.152343
  1882     7     8        17.3800       0.152180
  1882     7     9        23.6200       0.151558
  1882     7    10        29.8600       0.151248
  1882     7    11        73.2600       0.151297
  1882     7    12       169.1100       0.151506
  1882     7    13       138.2700       0.151207
  1882     7    14       184.9900       0.151520
  1882     7    15       313.4700       0.151588
  1882     7    16       297.6500       0.152634
  1882     7    17       295.3900       0.152971
  1882     7    18       387.2400       0.153346
  1882     7    19       371.7400       0.153268
  1882     7    20       349.3100       0.153743
  1882     7    21       369.4700       0.153592
  1882     7    22       300.8600       0.153490
  1882     7    23       276.3300       0.153546
  1882     7    24       205.4800       0.154461
  1882     7    25        82.4500       0.153906
  1882     7    26        94.7800       0.153403
  1882     7    27        88.0900       0.153151
  1882     7    28        43.2500       0.152493
  1882     7    29       112.3800       0.152397
  1882     7    30       149.7800       0.152191
