2003     1     1      1366.839000
  1.777103E-01  7.266029E+00  6.315667E-02  4.158181E-02  3.529573E-02
  3.033330E-02  4.907377E-02  2.377315E-02  1.924610E-02  2.289406E-02
  1.690356E-01  3.023530E-02  2.245545E-02  2.235235E-01  2.059091E-02
  4.778021E-02  3.033044E-02  3.210867E-02  3.220129E-02  8.712440E-02
  7.990455E-02  4.592114E-02  4.950247E-02  5.801925E-02  5.625801E-02
  6.038512E-02  7.563043E-02  8.853821E-02  9.185859E-02  8.409042E-02
  9.391577E-02  1.012858E-01  1.259863E-01  1.456584E-01  2.481492E-01
  1.977337E-01  2.021956E-01  1.847593E-01  1.824151E-01  1.807150E-01
  2.048370E-01  2.413160E-01  2.748881E-01  2.995287E-01  3.249086E-01
  5.464446E-01  3.625405E-01  4.247129E-01  4.772502E-01  6.203878E-01
  7.237051E-01  7.196694E-01  7.762033E-01  7.746084E-01  9.527725E-01
  1.167625E+00  1.254962E+00  1.493239E+00  1.675555E+00  1.645004E+00
  1.996889E+00  2.492113E+00  2.309474E+00  2.453415E+00  2.129385E+00
  2.395330E+00  2.788831E+00  3.210218E+00  3.411462E+00  3.818452E+00
  3.954472E+00  4.319560E+00  4.583894E+00  3.467541E+00  5.732928E+00
  5.652561E+00  6.229470E+00  6.396449E+00  6.428131E+00  6.917098E+00
  7.575942E+00  8.387167E+00  8.279112E+00  9.572205E+00  1.068481E+01
  1.108032E+01  1.141697E+01  1.321601E+01  1.503693E+01  2.174189E+01
  2.878791E+01  3.565808E+01  3.229795E+01  3.149688E+01  4.355497E+01
  3.529767E+01  3.341090E+01  3.321782E+01  4.663458E+01  4.824228E+01
  5.004903E+01  3.500493E+01  4.998132E+01  6.620888E+01  5.977547E+01
  5.249288E+01  3.887613E+01  3.767193E+01  5.501547E+01  4.682655E+01
  5.503479E+01  4.782938E+01  5.340532E+01  4.382710E+01  3.470818E+01
  5.563640E+01  4.516447E+01  5.408887E+01  3.790008E+01  4.476132E+01
  3.986474E+01  4.727864E+01  7.337833E+01  6.471201E+01  6.340538E+01
  4.886317E+01  4.831579E+01  5.703885E+01  4.420511E+01  5.638559E+01
  5.927173E+01  4.535502E+01  3.936289E+01  5.106206E+01  5.602198E+01
  8.027542E+01  1.003204E+02  1.238653E+02  1.309374E+02  1.063206E+02
  8.564740E+01  8.523365E+01  1.066274E+02  1.702705E+02  2.648306E+02
  2.631325E+02  2.478916E+02  2.530268E+02  2.474890E+02  2.288916E+02
  2.793097E+02  2.320786E+02  1.931202E+02  2.170580E+02  1.187615E+02
  1.693435E+02  2.506241E+02  2.473348E+02  1.595577E+02  7.371796E+01
  8.239779E+01  2.183100E+02  2.974269E+02  3.240102E+02  2.580861E+02
  1.297587E+02  3.402803E+02  3.685442E+02  3.106901E+02  4.645785E+02
  6.238613E+02  5.925177E+02  4.956576E+02  5.587443E+02  4.959620E+02
  5.620148E+02  5.094551E+02  5.491584E+02  4.172598E+02  5.272959E+02
  3.899905E+02  4.885084E+02  4.645546E+02  6.533793E+02  6.055192E+02
  6.150216E+02  5.662136E+02  6.551272E+02  6.575390E+02  4.996011E+02
  6.605446E+02  7.797736E+02  6.739464E+02  7.276843E+02  6.656018E+02
  6.820096E+02  6.204529E+02  8.598406E+02  6.582518E+02  7.221321E+02
  8.879787E+02  7.012247E+02  7.315551E+02  6.792247E+02  8.103255E+02
  9.035189E+02  1.025326E+03  9.911017E+02  9.173488E+02  1.122687E+03
  1.031969E+03  1.017555E+03  9.830919E+02  9.378849E+02  9.989185E+02
  1.014090E+03  7.992187E+02  8.740413E+02  9.341983E+02  9.689027E+02
  1.065662E+03  9.307989E+02  1.031147E+03  1.032418E+03  7.419875E+02
  1.008309E+03  9.323248E+02  9.211065E+02  9.567357E+02  8.591082E+02
  1.130756E+03  1.005215E+03  8.970408E+02  1.078345E+03  1.142992E+03
  1.067767E+03  9.509955E+02  8.605633E+02  6.401027E+02  1.091353E+03
  1.025172E+03  9.054648E+02  1.031532E+03  9.703684E+02  1.043338E+03
  1.193430E+03  1.265725E+03  1.216263E+03  1.081273E+03  1.267945E+03
  1.120150E+03  1.291127E+03  1.063209E+03  9.147089E+02  9.301818E+02
  1.114147E+03  1.089658E+03  1.308774E+03  1.400253E+03  1.067150E+03
  1.245697E+03  1.128366E+03  8.068216E+02  6.701290E+02  9.689179E+02
  1.015991E+03  1.025796E+03  9.987143E+02  9.574218E+02  1.219964E+03
  1.244278E+03  1.444073E+03  1.088507E+03  4.731242E+02  1.091376E+03
  1.406885E+03  7.450735E+02  8.364016E+02  1.587823E+03  1.702196E+03
  1.704681E+03  1.849203E+03  1.872499E+03  1.828367E+03  1.781484E+03
  1.726513E+03  1.676527E+03  1.694960E+03  1.713543E+03  1.723129E+03
  1.591727E+03  1.651824E+03  1.711872E+03  1.771934E+03  1.773690E+03
  1.772942E+03  1.790608E+03  1.749969E+03  1.744219E+03  1.740878E+03
  1.778666E+03  1.807900E+03  1.741109E+03  1.715274E+03  1.752344E+03
  1.735312E+03  1.723312E+03  1.654973E+03  1.649659E+03  1.493226E+03
  1.243586E+03  1.536898E+03  1.693974E+03  1.667596E+03  1.628717E+03
  1.746284E+03  1.839800E+03  1.778829E+03  1.705793E+03  1.772844E+03
  1.845778E+03  1.911371E+03  1.965204E+03  1.966232E+03  1.963363E+03
  1.926035E+03  1.909291E+03  2.016723E+03  2.037134E+03  2.053221E+03
  2.140752E+03  2.146052E+03  2.041068E+03  1.984803E+03  2.071555E+03
  2.081277E+03  2.133613E+03  2.130162E+03  2.073613E+03  2.056678E+03
  2.084728E+03  2.113486E+03  2.129609E+03  2.101741E+03  2.051265E+03
  2.047546E+03  2.027558E+03  2.012974E+03  2.045132E+03  2.026340E+03
  1.993324E+03  2.038909E+03  2.097944E+03  2.067015E+03  2.108535E+03
  2.103578E+03  2.071282E+03  2.121819E+03  2.117398E+03  2.112244E+03
  2.098346E+03  2.110542E+03  2.087718E+03  2.057347E+03  2.029496E+03
  1.843424E+03  1.738370E+03  1.878597E+03  1.934117E+03  2.009958E+03
  2.035597E+03  1.961206E+03  1.953597E+03  1.974035E+03  2.018325E+03
  2.015983E+03  2.005564E+03  1.986769E+03  1.951096E+03  1.945127E+03
  1.911262E+03  1.870489E+03  1.907451E+03  1.940736E+03  1.930120E+03
  1.998373E+03  2.026464E+03  1.993995E+03  1.961593E+03  1.927838E+03
  1.903988E+03  1.938951E+03  1.915501E+03  1.866773E+03  1.840675E+03
  1.866098E+03  1.735175E+03  1.629562E+03  1.689046E+03  1.805610E+03
  1.836673E+03  1.868125E+03  1.828240E+03  1.858152E+03  1.912122E+03
  1.888734E+03  1.727044E+03  1.766090E+03  1.877227E+03  1.893502E+03
  1.918276E+03  1.919790E+03  1.896176E+03  1.867449E+03  1.871005E+03
  1.924153E+03  1.878363E+03  1.876157E+03  1.886392E+03  1.841783E+03
  1.803063E+03  1.840325E+03  1.859647E+03  1.873270E+03  1.887590E+03
  1.890033E+03  1.888331E+03  1.864205E+03  1.871209E+03  1.891427E+03
  1.879789E+03  1.884462E+03  1.879412E+03  1.871929E+03  1.888917E+03
  1.877547E+03  1.837073E+03  1.812785E+03  1.787411E+03  1.761534E+03
  1.802593E+03  1.817191E+03  1.794507E+03  1.801511E+03  1.804323E+03
  1.786703E+03  1.785905E+03  1.815651E+03  1.799460E+03  1.792901E+03
  1.773234E+03  1.774433E+03  1.841519E+03  1.848603E+03  1.831006E+03
  1.802337E+03  1.808044E+03  1.809766E+03  1.783473E+03  1.795399E+03
  1.809855E+03  1.816744E+03  1.833242E+03  1.833263E+03  1.818190E+03
  1.783906E+03  1.778773E+03  1.801594E+03  1.730999E+03  1.655946E+03
  1.734221E+03  1.773637E+03  1.775991E+03  1.771807E+03  1.776003E+03
  1.766549E+03  1.777193E+03  1.773606E+03  1.755921E+03  1.754220E+03
  1.741437E+03  1.719043E+03  1.724659E+03  1.754384E+03  1.759058E+03
  1.747370E+03  1.739109E+03  1.730358E+03  1.712326E+03  1.701336E+03
  1.700386E+03  1.701558E+03  1.692003E+03  1.669306E+03  1.666497E+03
  1.651800E+03  1.619564E+03  1.643412E+03  1.666453E+03  1.675341E+03
  1.689115E+03  1.676062E+03  1.664267E+03  1.653617E+03  1.637374E+03
  1.630244E+03  1.661023E+03  1.680023E+03  1.679528E+03  1.659018E+03
  1.649967E+03  1.625135E+03  1.644054E+03  1.633811E+03  1.638115E+03
  1.636304E+03  1.630780E+03  1.652154E+03  1.650080E+03  1.615973E+03
  1.602183E+03  1.594494E+03  1.610273E+03  1.603845E+03  1.605011E+03
  1.590184E+03  1.591182E+03  1.601413E+03  1.595844E+03  1.547555E+03
  1.601327E+03  1.608531E+03  1.584270E+03  1.570299E+03  1.544673E+03
  1.441933E+03  1.324167E+03  1.464497E+03  1.534437E+03  1.538717E+03
  1.550944E+03  1.558938E+03  1.552673E+03  1.533143E+03  1.536377E+03
  1.539321E+03  1.529670E+03  1.524701E+03  1.533517E+03  1.528663E+03
  1.521992E+03  1.513845E+03  1.508337E+03  1.504533E+03  1.500921E+03
  1.497461E+03  1.494202E+03  1.491141E+03  1.488264E+03  1.485529E+03
  1.483014E+03  1.480680E+03  1.478510E+03  1.476537E+03  1.474767E+03
  1.473168E+03  1.471717E+03  1.470451E+03  1.471891E+03  1.478728E+03
  1.480267E+03  1.471763E+03  1.465714E+03  1.467292E+03  1.458223E+03
  1.456010E+03  1.459528E+03  1.438864E+03  1.455524E+03  1.458568E+03
  1.437856E+03  1.427776E+03  1.432891E+03  1.438936E+03  1.452854E+03
  1.442667E+03  1.424423E+03  1.425203E+03  1.411680E+03  1.401435E+03
  1.406146E+03  1.386111E+03  1.380048E+03  1.382239E+03  1.378649E+03
  1.372773E+03  1.377951E+03  1.375545E+03  1.356933E+03  1.356751E+03
  1.358550E+03  1.358438E+03  1.356013E+03  1.361027E+03  1.356816E+03
  1.344673E+03  1.347666E+03  1.344325E+03  1.318799E+03  1.312473E+03
  1.336002E+03  1.332232E+03  1.330605E+03  1.330055E+03  1.329815E+03
  1.315125E+03  1.310536E+03  1.308189E+03  1.278078E+03  1.279303E+03
  1.271529E+03  1.261447E+03  1.279864E+03  1.298039E+03  1.284137E+03
  1.297173E+03  1.291538E+03  1.295374E+03  1.287287E+03  1.272081E+03
  1.270882E+03  1.272370E+03  1.256490E+03  1.231977E+03  1.220356E+03
  1.176379E+03  1.164156E+03  1.159933E+03  1.132229E+03  1.134800E+03
  1.123598E+03  1.109877E+03  1.113928E+03  1.089457E+03  1.071369E+03
  1.069834E+03  1.041433E+03  1.039629E+03  1.020800E+03  9.994437E+02
  9.188846E+02  9.721346E+02  9.929179E+02  9.347321E+02  9.628384E+02
  9.631212E+02  9.433037E+02  9.363362E+02  9.328185E+02  9.262224E+02
  9.026988E+02  8.986261E+02  8.942868E+02  8.905128E+02  8.593083E+02
  8.623468E+02  8.592126E+02  8.490135E+02  8.237470E+02  8.327718E+02
  8.173361E+02  8.078215E+02  8.005033E+02  7.910419E+02  7.838811E+02
  7.722893E+02  7.677071E+02  7.549191E+02  7.495904E+02  7.452478E+02
  7.328846E+02  7.204772E+02  7.192324E+02  7.043375E+02  6.994039E+02
  6.941132E+02  6.824024E+02  6.743275E+02  6.685223E+02  6.576373E+02
  6.527706E+02  6.427931E+02  6.399717E+02  6.270969E+02  6.246397E+02
  6.223744E+02  6.112691E+02  6.105092E+02  6.020176E+02  5.925661E+02
  5.928999E+02  5.881610E+02  5.807227E+02  5.765166E+02  5.721157E+02
  5.642775E+02  5.613353E+02  5.561477E+02  5.485370E+02  5.480808E+02
  5.429698E+02  5.382358E+02  5.285403E+02  5.261316E+02  5.243737E+02
  5.168568E+02  5.111543E+02  5.081785E+02  5.100191E+02  4.978809E+02
  4.979097E+02  4.914001E+02  4.887525E+02  4.868108E+02  4.815716E+02
  4.760323E+02  4.713200E+02  4.663036E+02  4.601177E+02  4.595365E+02
  4.546810E+02  4.506919E+02  4.460745E+02  4.409757E+02  4.412236E+02
  4.393488E+02  4.151064E+02  4.272479E+02  4.211155E+02  4.166645E+02
  4.107363E+02  4.090825E+02  4.002281E+02  3.977352E+02  3.957551E+02
  3.890407E+02  3.846332E+02  3.809300E+02  3.767133E+02  3.732392E+02
  3.697599E+02  3.654225E+02  3.638802E+02  3.604401E+02  3.579353E+02
  3.549741E+02  3.523182E+02  3.500257E+02  3.474507E+02  3.449062E+02
  3.406886E+02  3.395554E+02  3.351504E+02  3.350685E+02  3.295898E+02
  3.253810E+02  3.260583E+02  3.240038E+02  3.168196E+02  3.179168E+02
  3.131321E+02  3.124537E+02  3.097890E+02  3.084670E+02  3.041980E+02
  3.025308E+02  3.022227E+02  2.944703E+02  2.983568E+02  2.972530E+02
  2.871665E+02  2.868224E+02  2.883326E+02  2.852126E+02  2.818689E+02
  2.804747E+02  2.778024E+02  2.752476E+02  2.736112E+02  2.716537E+02
  2.682374E+02  2.661333E+02  2.658848E+02  2.627743E+02  2.606047E+02
  2.550931E+02  2.583633E+02  2.495922E+02  2.491255E+02  2.507980E+02
  2.477499E+02  2.445250E+02  2.407018E+02  2.380706E+02  2.375606E+02
  2.386860E+02  2.358943E+02  2.286491E+02  2.254770E+02  2.266467E+02
  2.248592E+02  2.235650E+02  2.217395E+02  2.191094E+02  2.171552E+02
  2.125493E+02  2.082478E+02  2.103953E+02  2.095883E+02  2.070828E+02
  2.037300E+02  2.010815E+02  1.993987E+02  1.994713E+02  1.959871E+02
  1.955475E+02  1.898795E+02  1.852821E+02  1.878220E+02  1.857071E+02
  1.839371E+02  1.824877E+02  1.798418E+02  1.788391E+02  1.772616E+02
  1.747046E+02  1.730695E+02  1.723440E+02  1.706273E+02  1.687750E+02
  1.673800E+02  1.671425E+02  1.643797E+02  1.580106E+02  1.588840E+02
  1.599832E+02  1.579567E+02  1.556663E+02  1.532905E+02  1.519705E+02
  1.516147E+02  1.502951E+02  1.493536E+02  1.485500E+02  1.424687E+02
  1.399435E+02  1.446904E+02  1.429759E+02  1.395781E+02  1.379445E+02
  1.381962E+02  1.369496E+02  1.355593E+02  1.341624E+02  1.331452E+02
  1.317143E+02  1.307080E+02  1.300925E+02  1.250077E+02  1.229737E+02
  1.258435E+02  1.256327E+02  1.233325E+02  1.220853E+02  1.211352E+02
  1.196171E+02  1.185809E+02  1.180675E+02  1.169484E+02  1.156981E+02
  1.148146E+02  1.140384E+02  1.134157E+02  1.119764E+02  1.107239E+02
  1.095771E+02  1.082000E+02  1.071308E+02  1.064906E+02  1.056351E+02
  1.043093E+02  1.028449E+02  1.015684E+02  1.005457E+02  1.000027E+02
  9.900692E+01  9.791875E+01  9.699967E+01  9.590897E+01  9.515237E+01
  9.498900E+01  9.430071E+01  9.341522E+01  9.258313E+01  9.176473E+01
  9.140437E+01  9.084655E+01  9.023166E+01  8.957323E+01  8.896344E+01
  8.838061E+01  8.739665E+01  8.448477E+01  8.334153E+01  8.405033E+01
  8.438610E+01  8.369698E+01  8.316195E+01  8.263717E+01  8.231700E+01
  8.107894E+01  8.022888E+01  7.966703E+01  7.945471E+01  7.860416E+01
  7.794228E+01  7.722313E+01  7.648793E+01  7.566400E+01  7.502297E+01
  7.424848E+01  7.352111E+01  7.300038E+01  7.248426E+01  7.215724E+01
  7.135471E+01  7.082391E+01  7.028995E+01  6.962907E+01  6.898771E+01
  6.872211E+01  6.845950E+01  6.785446E+01  6.702261E+01  6.609860E+01
  6.547721E+01  6.518625E+01  6.487948E+01  6.453962E+01  6.387253E+01
  6.299657E+01  6.241227E+01  6.233050E+01  6.194359E+01  6.145601E+01
  6.074790E+01  6.005050E+01  5.949883E+01  5.941621E+01  5.933622E+01
  5.903098E+01  5.850919E+01  5.766922E+01  5.711692E+01  5.679165E+01
  5.669659E+01  5.625394E+01  5.589785E+01  5.524769E+01  5.466317E+01
  5.399043E+01  5.384657E+01  5.363189E+01  5.335631E+01  5.285205E+01
  5.218070E+01  5.175281E+01  5.141675E+01  5.135416E+01  5.123354E+01
  5.083068E+01  5.038877E+01  4.991012E+01  4.958454E+01  4.932825E+01
  4.901201E+01  4.850300E+01  4.793576E+01  4.745398E+01  4.705025E+01
  4.678943E+01  4.646760E+01  4.615631E+01  4.597256E+01  4.575728E+01
  4.532270E+01  4.491364E+01  4.454403E+01  4.438116E+01  4.437612E+01
  4.417732E+01  4.399002E+01  4.368121E+01  4.289356E+01  4.226006E+01
  4.202086E+01  4.182400E+01  4.207598E+01  4.177842E+01  4.135950E+01
  4.113651E+01  4.061862E+01  4.023117E+01  3.992206E+01  3.963175E+01
  3.952554E+01  3.925795E+01  3.903507E+01  3.877280E+01  3.850036E+01
  3.822449E+01  3.798125E+01  3.770728E+01  3.744735E+01  3.720024E+01
  3.696065E+01  3.669302E+01  3.648888E+01  3.624377E+01  3.593794E+01
  3.557251E+01  3.526336E+01  3.501820E+01  3.483554E+01  3.471292E+01
  3.450590E+01  3.430564E+01  3.412660E+01  3.391640E+01  3.370160E+01
  3.347541E+01  3.324635E+01  3.303408E+01  3.282063E+01  3.260156E+01
  3.239986E+01  3.216165E+01  3.194751E+01  3.172244E+01  3.149897E+01
  3.131052E+01  3.109846E+01  3.080009E+01  3.051389E+01  3.030483E+01
  3.010951E+01  2.999828E+01  2.990609E+01  2.972889E+01  2.953809E+01
  2.936582E+01  2.917058E+01  2.898149E+01  2.876508E+01  2.856927E+01
  2.838860E+01  2.820152E+01  2.803152E+01  2.786301E+01  2.768347E+01
  2.751048E+01  2.736316E+01  2.720583E+01  2.704339E+01  2.687283E+01
  2.670055E+01  2.652499E+01  2.633180E+01  2.615251E+01  2.598402E+01
  2.582754E+01  2.567010E+01  2.552944E+01  2.536625E+01  2.518834E+01
  2.494015E+01  2.469203E+01  2.452765E+01  2.438265E+01  2.425814E+01
  2.422184E+01  2.410550E+01  2.396002E+01  2.381756E+01  2.366702E+01
  2.352010E+01  2.339203E+01  2.323223E+01  2.309084E+01  2.296688E+01
  2.280747E+01  2.261697E+01  2.249386E+01  2.234996E+01  2.221154E+01
  2.211828E+01  2.202583E+01  2.188888E+01  2.172691E+01  2.160018E+01
  2.146882E+01  2.132287E+01  2.119356E+01  2.110054E+01  2.096433E+01
  2.084450E+01  2.073967E+01  2.062164E+01  2.048909E+01  2.038019E+01
  2.025019E+01  2.012549E+01  2.000580E+01  1.990068E+01  1.977171E+01
  1.965678E+01  1.952722E+01  1.941583E+01  1.930131E+01  1.919038E+01
  1.907491E+01  1.897844E+01  1.886730E+01  1.874785E+01  1.862797E+01
