DAILY TSI, PX and PS from extend_tsi_day_mon_ann.pro  px is Viereck et al 2003 Mg index plus SORCE
Wed Feb 13 13:02:52 2013
 szero and model2 coefs are: 
      1365.50      1335.42      114.825     -1.10903
    YEAR      MONTH    DAY        TSI            PX            PS
    2000       1       1      1366.3160         0.2722       232.5000
    2000       1       2      1366.4113         0.2728       220.3800
    2000       1       3      1366.4684         0.2737       247.0800
    2000       1       4      1366.4817         0.2734       220.1300
    2000       1       5      1366.7063         0.2747       169.5700
    2000       1       6      1366.7998         0.2753       151.0700
    2000       1       7      1366.9033         0.2759       128.2600
    2000       1       8      1366.9989         0.2766       115.9000
    2000       1       9      1367.0750         0.2770        94.4700
    2000       1      10      1367.0627         0.2772       122.2800
    2000       1      11      1367.0646         0.2785       220.4100
    2000       1      12      1366.8724         0.2794       413.9600
    2000       1      13      1366.8235         0.2799       486.4400
    2000       1      14      1366.9667         0.2814       506.4400
    2000       1      15      1366.9408         0.2821       573.6400
    2000       1      16      1367.0078         0.2825       558.8300
    2000       1      17      1366.9489         0.2819       556.8000
    2000       1      18      1367.0706         0.2809       399.1700
    2000       1      19      1367.0004         0.2796       346.1700
    2000       1      20      1366.9032         0.2790       359.6200
    2000       1      21      1366.6527         0.2772       395.2700
    2000       1      22      1366.7139         0.2754       216.9500
    2000       1      23      1366.6541         0.2740       145.7500
    2000       1      24      1366.5422         0.2731       150.5700
    2000       1      25      1366.4540         0.2728       186.8600
    2000       1      26      1366.4033         0.2727       211.9200
    2000       1      27      1366.3324         0.2715       174.5600
    2000       1      28      1366.3523         0.2720       193.3100
    2000       1      29      1366.4486         0.2720       128.9900
    2000       1      30      1366.4611         0.2715        89.6200
    2000       1      31      1366.5159         0.2722       106.5700
    2000       2       1      1366.5999         0.2734       137.5100
    2000       2       2      1366.7216         0.2742       121.6200
    2000       2       3      1366.8555         0.2761       176.5700
    2000       2       4      1366.8207         0.2781       348.8500
    2000       2       5      1367.1335         0.2791       219.5800
    2000       2       6      1367.2959         0.2801       190.4900
    2000       2       7      1367.1707         0.2802       280.0400
    2000       2       8      1367.1683         0.2803       290.6000
    2000       2       9      1367.3483         0.2813       240.7400
    2000       2      10      1367.3462         0.2811       227.7800
    2000       2      11      1367.2715         0.2803       221.0400
    2000       2      12      1367.1573         0.2795       231.2100
    2000       2      13      1367.1478         0.2795       237.4600
    2000       2      14      1367.1964         0.2794       201.6100
    2000       2      15      1367.1633         0.2788       180.1600
    2000       2      16      1366.9351         0.2779       255.8600
    2000       2      17      1366.8257         0.2767       236.3700
    2000       2      18      1366.7549         0.2756       205.7800
    2000       2      19      1366.6166         0.2745       214.3900
    2000       2      20      1366.4993         0.2739       242.6300
    2000       2      21      1366.3447         0.2733       300.6600
    2000       2      22      1366.3192         0.2729       289.5000
    2000       2      23      1366.2814         0.2734       348.6100
    2000       2      24      1366.1533         0.2741       486.9400
    2000       2      25      1366.0396         0.2753       656.1200
    2000       2      26      1365.8888         0.2771       886.8300
    2000       2      27      1365.3778         0.2791      1375.9000
    2000       2      28      1365.4058         0.2801      1437.7700
    2000       2      29      1364.4871         0.2813      2136.9900
    2000       3       1      1365.7535         0.2816      1321.1400
    2000       3       2      1366.0349         0.2821      1167.9700
    2000       3       3      1366.2878         0.2810       919.1200
    2000       3       4      1366.6328         0.2811       699.6000
    2000       3       5      1366.5714         0.2806       702.9400
    2000       3       6      1366.5084         0.2801       704.4300
    2000       3       7      1366.3588         0.2796       769.9200
    2000       3       8      1366.5798         0.2799       641.3100
    2000       3       9      1366.5264         0.2797       661.4700
    2000       3      10      1366.4658         0.2794       681.0100
    2000       3      11      1366.4875         0.2798       699.2000
    2000       3      12      1366.4508         0.2800       736.3800
    2000       3      13      1366.4946         0.2802       727.1700
    2000       3      14      1366.2512         0.2792       809.7900
    2000       3      15      1366.4806         0.2788       624.2300
    2000       3      16      1366.4316         0.2772       540.5400
    2000       3      17      1366.3699         0.2763       507.0300
    2000       3      18      1366.3368         0.2762       527.3000
    2000       3      19      1366.1102         0.2773       756.5900
    2000       3      20      1365.9573         0.2768       818.9200
    2000       3      21      1365.9532         0.2775       874.6300
    2000       3      22      1365.8812         0.2780       961.6700
    2000       3      23      1366.3739         0.2785       673.4000
    2000       3      24      1366.4794         0.2792       658.4100
    2000       3      25      1366.8947         0.2799       434.2600
    2000       3      26      1366.7876         0.2809       580.6900
    2000       3      27      1366.9927         0.2819       520.2900
    2000       3      28      1366.9250         0.2822       588.4800
    2000       3      29      1367.1355         0.2823       457.1200
    2000       3      30      1367.2177         0.2828       442.3100
    2000       3      31      1367.2117         0.2827       439.4600
    2000       4       1      1366.9951         0.2833       626.4200
    2000       4       2      1366.8330         0.2833       732.7100
    2000       4       3      1367.1407         0.2828       493.0400
    2000       4       4      1367.2318         0.2826       417.8100
    2000       4       5      1367.2045         0.2812       328.9400
    2000       4       6      1367.2261         0.2801       235.0200
    2000       4       7      1367.1880         0.2795       214.7000
    2000       4       8      1367.0358         0.2791       282.5900
    2000       4       9      1367.1339         0.2792       229.2000
    2000       4      10      1367.1331         0.2795       253.3000
    2000       4      11      1367.2126         0.2798       221.9000
    2000       4      12      1367.0936         0.2801       318.7100
    2000       4      13      1367.0133         0.2803       391.4900
    2000       4      14      1367.0211         0.2804       390.1100
    2000       4      15      1367.0201         0.2799       355.8600
    2000       4      16      1366.8831         0.2789       369.8100
    2000       4      17      1366.7937         0.2777       334.0400
    2000       4      18      1366.7758         0.2769       289.0600
    2000       4      19      1366.8232         0.2768       253.1100
    2000       4      20      1366.8379         0.2773       280.5800
    2000       4      21      1366.7042         0.2776       390.8900
    2000       4      22      1366.3472         0.2784       686.5500
    2000       4      23      1365.7642         0.2793      1139.7700
    2000       4      24      1365.6537         0.2806      1312.0300
    2000       4      25      1365.5122         0.2804      1389.4700
    2000       4      26      1365.2878         0.2798      1490.6400
    2000       4      27      1365.6050         0.2794      1249.3800
    2000       4      28      1365.6057         0.2788      1206.4301
    2000       4      29      1366.0664         0.2783       866.6400
    2000       4      30      1366.3492         0.2780       651.8300
    2000       5       1      1366.6605         0.2774       403.0500
    2000       5       2      1366.8057         0.2763       219.2300
    2000       5       3      1366.9624         0.2760        95.2600
    2000       5       4      1366.9419         0.2753        58.8000
    2000       5       5      1366.9227         0.2748        29.7700
    2000       5       6      1366.9148         0.2749        43.3200
    2000       5       7      1366.9277         0.2750        45.3900
    2000       5       8      1366.9521         0.2756        70.2200
    2000       5       9      1366.9382         0.2764       143.8300
    2000       5      10      1366.8365         0.2769       248.9500
    2000       5      11      1366.6266         0.2779       465.6200
    2000       5      12      1366.4745         0.2784       598.6700
    2000       5      13      1366.2620         0.2796       833.0000
    2000       5      14      1366.3516         0.2806       851.1900
    2000       5      15      1365.9780         0.2807      1101.6300
    2000       5      16      1365.7448         0.2812      1295.8700
    2000       5      17      1365.5243         0.2820      1500.6200
    2000       5      18      1365.2949         0.2821      1663.4000
    2000       5      19      1365.7394         0.2829      1427.5800
    2000       5      20      1365.3813         0.2833      1691.3400
    2000       5      21      1365.4373         0.2827      1614.1899
    2000       5      22      1366.0001         0.2809      1104.4700
    2000       5      23      1366.7395         0.2808       607.1400
    2000       5      24      1366.7137         0.2796       533.9100
    2000       5      25      1366.8541         0.2783       338.8700
    2000       5      26      1366.6805         0.2764       311.0100
    2000       5      27      1366.1877         0.2754       565.0800
    2000       5      28      1366.1158         0.2742       520.0700
    2000       5      29      1366.1090         0.2741       514.7800
    2000       5      30      1366.0972         0.2738       501.2600
    2000       5      31      1366.0212         0.2733       512.0000
    2000       6       1      1365.9824         0.2735       556.5900
    2000       6       2      1365.9865         0.2745       627.4900
    2000       6       3      1366.3601         0.2764       523.3200
    2000       6       4      1366.3306         0.2766       556.4000
    2000       6       5      1366.4312         0.2769       518.0800
    2000       6       6      1366.3148         0.2775       635.1400
    2000       6       7      1366.4052         0.2775       581.5200
    2000       6       8      1366.5885         0.2783       521.1300
    2000       6       9      1366.4917         0.2782       572.8500
    2000       6      10      1366.5912         0.2787       545.9000
    2000       6      11      1366.5493         0.2797       648.5500
    2000       6      12      1366.3237         0.2805       862.7500
    2000       6      13      1366.5288         0.2807       739.4900
    2000       6      14      1366.5691         0.2807       715.8500
    2000       6      15      1366.7117         0.2810       638.3900
    2000       6      16      1366.5417         0.2807       733.2200
    2000       6      17      1366.6191         0.2803       647.1700
    2000       6      18      1366.4336         0.2795       715.1500
    2000       6      19      1366.6215         0.2810       697.2500
    2000       6      20      1366.5864         0.2807       704.4500
    2000       6      21      1366.8870         0.2806       499.2200
    2000       6      22      1366.9818         0.2801       395.6200
    2000       6      23      1366.9171         0.2795       392.7800
    2000       6      24      1366.7545         0.2784       416.8500
    2000       6      25      1366.5121         0.2777       524.6000
    2000       6      26      1366.2765         0.2774       658.8800
    2000       6      27      1366.1373         0.2774       743.9400
    2000       6      28      1365.9706         0.2763       776.0100
    2000       6      29      1366.0526         0.2754       655.8000
    2000       6      30      1366.0642         0.2755       653.4800
    2000       7       1      1365.4224         0.2767      1163.7400
    2000       7       2      1366.5947         0.2774       448.7200
    2000       7       3      1366.6592         0.2776       415.2700
    2000       7       4      1366.6190         0.2774       426.6800
    2000       7       5      1366.4923         0.2772       495.1600
    2000       7       6      1366.3691         0.2773       586.3200
    2000       7       7      1366.5078         0.2781       553.9200
    2000       7       8      1366.3545         0.2798       787.0900
    2000       7       9      1366.4375         0.2819       894.4600
    2000       7      10      1364.9858         0.2820      1856.8600
    2000       7      11      1366.2797         0.2822      1018.4900
    2000       7      12      1366.1708         0.2823      1100.1700
    2000       7      13      1366.4872         0.2824       892.1100
    2000       7      14      1366.9058         0.2821       598.1900
    2000       7      15      1366.8503         0.2814       582.4700
    2000       7      16      1366.9832         0.2832       631.2200
    2000       7      17      1366.8325         0.2846       834.5800
    2000       7      18      1367.3541         0.2865       636.5600
    2000       7      19      1367.0944         0.2869       835.3400
    2000       7      20      1366.5151         0.2873      1246.6899
    2000       7      21      1366.5166         0.2866      1197.1600
    2000       7      22      1366.6010         0.2857      1070.1200
    2000       7      23      1366.4852         0.2836       991.1700
    2000       7      24      1366.3496         0.2805       843.4300
    2000       7      25      1366.3641         0.2797       776.1700
    2000       7      26      1366.6396         0.2787       512.3500
    2000       7      27      1366.8779         0.2782       318.6600
    2000       7      28      1366.8481         0.2773       273.8400
    2000       7      29      1366.9736         0.2783       262.9900
    2000       7      30      1367.0646         0.2788       240.8200
    2000       7      31      1367.2004         0.2797       219.4400
    2000       8       1      1367.1902         0.2800       249.6600
    2000       8       2      1367.1700         0.2795       224.2500
    2000       8       3      1367.1764         0.2792       201.0800
    2000       8       4      1367.1140         0.2785       186.9800
    2000       8       5      1367.0292         0.2790       282.4100
    2000       8       6      1366.9908         0.2792       318.3300
    2000       8       7      1366.9966         0.2790       302.4400
    2000       8       8      1366.6929         0.2787       482.5500
    2000       8       9      1366.7559         0.2788       449.2500
    2000       8      10      1366.9438         0.2797       391.1400
    2000       8      11      1367.0278         0.2805       394.8000
    2000       8      12      1367.2368         0.2813       321.2000
    2000       8      13      1367.5137         0.2829       255.9300
    2000       8      14      1367.3600         0.2835       399.0500
    2000       8      15      1367.3650         0.2837       411.7100
    2000       8      16      1367.3296         0.2833       407.0900
    2000       8      17      1367.3890         0.2840       418.6000
    2000       8      18      1367.2898         0.2833       434.0400
    2000       8      19      1367.3408         0.2820       298.8300
    2000       8      20      1367.2106         0.2803       255.1100
    2000       8      21      1367.0510         0.2785       227.8300
    2000       8      22      1366.8217         0.2762       204.9300
    2000       8      23      1366.5983         0.2743       205.3100
    2000       8      24      1366.5516         0.2733       159.5400
    2000       8      25      1366.6083         0.2736       145.5400
    2000       8      26      1366.5569         0.2740       215.2300
    2000       8      27      1366.4620         0.2748       336.1800
    2000       8      28      1366.5219         0.2761       399.0800
    2000       8      29      1366.4543         0.2768       493.7500
    2000       8      30      1366.6334         0.2778       448.2400
    2000       8      31      1366.8022         0.2787       408.0200
    2000       9       1      1366.8657         0.2795       427.5600
    2000       9       2      1366.8865         0.2791       382.0300
    2000       9       3      1366.9067         0.2785       319.3000
    2000       9       4      1366.8942         0.2785       335.1300
    2000       9       5      1366.7986         0.2792       450.6200
    2000       9       6      1366.7789         0.2795       484.0500
    2000       9       7      1366.8303         0.2793       432.7200
    2000       9       8      1366.9432         0.2791       346.7600
    2000       9       9      1367.2119         0.2791       166.3200
    2000       9      10      1367.4147         0.2792        36.9900
    2000       9      11      1367.3696         0.2783         4.5100
    2000       9      12      1367.3545         0.2783        13.8000
    2000       9      13      1367.3427         0.2784        29.9200
    2000       9      14      1366.9781         0.2779       226.6500
    2000       9      15      1366.6743         0.2772       375.7400
    2000       9      16      1366.6460         0.2765       346.6600
    2000       9      17      1366.7371         0.2772       340.3200
    2000       9      18      1366.3715         0.2772       581.0400
    2000       9      19      1365.7079         0.2772      1014.7100
    2000       9      20      1365.6315         0.2787      1177.3900
    2000       9      21      1365.4041         0.2821      1589.0601
    2000       9      22      1365.0061         0.2803      1711.6500
    2000       9      23      1364.6074         0.2790      1880.1200
    2000       9      24      1364.9550         0.2798      1708.9700
    2000       9      25      1365.7201         0.2805      1258.3800
    2000       9      26      1366.2156         0.2810       965.3100
    2000       9      27      1366.5670         0.2817       787.0100
    2000       9      28      1367.0023         0.2814       478.3200
    2000       9      29      1367.0116         0.2810       440.3300
    2000       9      30      1366.9944         0.2803       403.9800
    2000      10       1      1366.7899         0.2795       475.2800
    2000      10       2      1366.6241         0.2792       563.5500
    2000      10       3      1366.7811         0.2802       535.6800
    2000      10       4      1366.8552         0.2803       492.8700
    2000      10       5      1367.0769         0.2807       379.8200
    2000      10       6      1367.2750         0.2808       256.6100
    2000      10       7      1367.2968         0.2800       182.3300
    2000      10       8      1365.8198         0.2789      1074.1899
    2000      10       9      1367.0953         0.2779       152.2700
    2000      10      10      1367.0626         0.2775       146.6100
    2000      10      11      1366.7920         0.2763       235.0700
    2000      10      12      1366.9095         0.2770       208.2800
    2000      10      13      1366.9109         0.2770       202.7700
    2000      10      14      1366.9463         0.2768       165.8400
    2000      10      15      1366.8370         0.2760       178.7500
    2000      10      16      1366.9097         0.2761       142.9700
    2000      10      17      1366.9673         0.2768       156.4900
    2000      10      18      1367.0070         0.2776       190.9900
    2000      10      19      1367.1941         0.2789       160.6700
    2000      10      20      1367.0377         0.2795       309.3900
    2000      10      21      1367.0439         0.2792       287.8200
    2000      10      22      1367.1918         0.2801       254.6700
    2000      10      23      1367.3195         0.2801       171.8400
    2000      10      24      1366.5450         0.2795       636.9200
    2000      10      25      1367.2352         0.2791       150.2100
    2000      10      26      1367.2592         0.2790       127.5000
    2000      10      27      1367.1034         0.2778       142.4200
    2000      10      28      1367.0437         0.2775       155.3500
    2000      10      29      1366.9216         0.2786       320.0900
    2000      10      30      1367.0657         0.2803       356.9400
    2000      10      31      1367.2975         0.2821       340.3100
    2000      11       1      1367.2698         0.2833       446.5400
    2000      11       2      1367.1530         0.2838       563.8500
    2000      11       3      1366.8774         0.2836       729.1900
    2000      11       4      1367.1104         0.2837       584.4300
    2000      11       5      1367.3049         0.2836       443.8200
    2000      11       6      1367.2908         0.2823       360.6000
    2000      11       7      1367.2169         0.2810       304.0800
    2000      11       8      1366.9279         0.2784       304.6300
    2000      11       9      1367.0549         0.2791       267.6600
    2000      11      10      1366.5262         0.2747       286.2100
    2000      11      11      1366.5227         0.2740       236.9900
    2000      11      12      1366.5461         0.2741       225.2900
    2000      11      13      1366.5669         0.2742       218.4200
    2000      11      14      1366.0693         0.2745       574.2500
    2000      11      15      1366.5417         0.2753       319.9300
    2000      11      16      1366.6917         0.2766       323.2900
    2000      11      17      1366.9231         0.2783       293.3700
    2000      11      18      1367.0326         0.2787       253.6400
    2000      11      19      1366.8877         0.2793       394.0500
    2000      11      20      1366.6698         0.2795       557.6400
    2000      11      21      1366.6847         0.2792       521.2700
    2000      11      22      1366.8254         0.2797       471.5700
    2000      11      23      1366.8611         0.2797       444.9900
    2000      11      24      1366.8854         0.2801       456.9300
    2000      11      25      1366.9231         0.2816       549.6100
    2000      11      26      1366.9493         0.2822       577.7900
    2000      11      27      1367.1056         0.2831       538.2600
    2000      11      28      1367.1368         0.2838       570.7300
    2000      11      29      1367.2928         0.2848       545.8200
    2000      11      30      1367.3384         0.2845       490.7000
    2000      12       1      1367.4011         0.2833       362.0500
    2000      12       2      1367.2419         0.2808       272.4000
    2000      12       3      1366.9104         0.2774       241.1200
    2000      12       4      1367.1187         0.2776       111.1500
    2000      12       5      1366.8451         0.2749        93.0800
    2000      12       6      1366.6111         0.2733       125.5500
    2000      12       7      1366.5112         0.2729       161.1300
    2000      12       8      1366.5649         0.2726       102.9200
    2000      12       9      1366.5951         0.2726        82.2800
    2000      12      10      1366.6844         0.2731        60.4200
    2000      12      11      1366.6992         0.2738       101.5100
    2000      12      12      1366.7666         0.2752       165.3900
    2000      12      13      1366.8295         0.2765       226.2500
    2000      12      14      1367.0698         0.2790       249.5900
    2000      12      15      1366.8782         0.2798       443.5500
    2000      12      16      1366.9609         0.2797       375.2400
    2000      12      17      1366.8477         0.2802       490.9800
    2000      12      18      1367.2078         0.2799       233.5300
    2000      12      19      1367.2234         0.2801       232.3100
    2000      12      20      1367.1385         0.2804       316.3500
    2000      12      21      1367.4801         0.2833       306.9100
    2000      12      22      1367.1639         0.2820       417.1500
    2000      12      23      1367.0802         0.2819       467.1000
    2000      12      24      1367.0820         0.2826       522.0300
    2000      12      25      1367.3049         0.2828       388.4700
    2000      12      26      1367.1947         0.2830       474.1500
    2000      12      27      1367.2356         0.2828       432.7300
